,id,age,gender,location,status,income,purpose,infrastructure_adequacy,trip_frequency,mode_transportation,reason,travel_distance,g_per_km,trip_cost,adoption
493,494,26-50,Male,Off campus,Staff,41k–60k,work,yes,5,Public Transport,travel time,21-40,18.6,60,no
494,495,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Private,travel time,21-40,116.0,330,no
495,496,26-50,Male,Off campus,Staff,>100k,work,yes,6,Public Transport,safety,<=20,18.6,20,no
496,497,26-50,Male,Off campus,Staff,61k–80k,work,yes,6,Motorcycle,trip cost,<=20,50.0,30,no
497,498,<=20,Male,Off campus,Students,≤20k,study,yes,2,Taxi,comfort,61-80,116.0,4120,no
498,499,<=20,Female,Off campus,Students,21k–40k,study,yes,Daily,Private,trip origin,61-80,116.0,770,no
499,500,26-50,Female,Off campus,Staff,81k-100k,work,no,Daily,Private,car ownership,80+,173.0,1100,no
500,501,26-50,Male,Off campus,Staff,81k-100k,work,yes,1,Public Transport,trip cost,<=20,18.6,20,no
501,502,26-50,Male,Off campus,Staff,41k–60k,both,no,Daily,Private,car ownership,21-40,173.0,330,yes
502,503,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,trip cost,<=20,18.6,20,no
503,504,<=20,Female,Off campus,Students,21k–40k,study,yes,6,Public Transport,travel time,<=20,18.6,20,no
504,505,51+,Male,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,trip cost,80+,18.6,200,yes
505,506,<=20,Male,On campus,Students,41k–60k,study,yes,4,Walking,trip cost,<=20,0.0,0,no
506,507,26-50,Female,Off campus,Staff,61k–80k,both,yes,Daily,Taxi,trip origin,61-80,116.0,4120,yes
507,508,<=20,Female,Off campus,Students,41k–60k,study,yes,3,Public Transport,trip cost,<=20,18.6,20,no
508,509,51+,Female,Off campus,Staff,41k–60k,both,yes,5,Private,comfort,21-40,173.0,330,no
509,510,26-50,Female,Off campus,Staff,81k-100k,work,yes,Daily,Private,car ownership,41-60,173.0,550,no
510,511,<=20,Male,On campus,Students,≤20k,both,no,Daily,Motorcycle,trip distance,<=20,50.0,30,no
511,512,26-50,Male,Off campus,Staff,>100k,work,yes,3,Private,trip origin,21-40,173.0,330,no
512,513,<=20,Female,Off campus,Students,≤20k,study,yes,3,Public Transport,safety,<=20,18.6,20,yes
513,514,26-50,Female,Off campus,Staff,61k–80k,work,yes,3,Public Transport,travel time,41-60,18.6,100,no
514,515,26-50,Male,Off campus,Staff,81k-100k,work,no,Daily,Public Transport,travel time,80+,18.6,200,no
515,516,26-50,Male,Off campus,Staff,61k–80k,work,yes,Daily,Private,car ownership,61-80,173.0,770,no
516,517,26-50,Male,On campus,Staff,61k–80k,work,yes,6,Public Transport,trip cost,80+,18.6,200,no
517,518,26-50,Female,Off campus,Staff,>100k,work,no,5,Private,safety,61-80,173.0,770,no
518,519,<=20,Female,Off campus,Students,≤20k,both,no,1,Taxi,safety,80+,116.0,5770,yes
519,520,<=20,Male,Off campus,Students,21k–40k,study,yes,5,Public Transport,travel time,21-40,18.6,60,no
520,521,26-50,Male,Off campus,Staff,41k–60k,work,yes,1,Taxi,car ownership,21-40,116.0,1920,yes
521,522,26-50,Male,On campus,Staff,81k-100k,both,no,1,Private,travel time,21-40,173.0,330,no
522,523,51+,Female,Off campus,Staff,61k–80k,both,no,Daily,Private,comfort,61-80,116.0,770,no
523,524,26-50,Female,Off campus,Staff,61k–80k,work,yes,1,Public Transport,safety,<=20,18.6,20,yes
524,525,26-50,Female,Off campus,Staff,41k–60k,work,yes,2,Taxi,travel time,<=20,116.0,270,yes
525,526,51+,Male,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,trip cost,80+,18.6,200,yes
526,527,26-50,Male,Off campus,Staff,41k–60k,work,yes,1,Private,safety,<=20,173.0,110,yes
527,528,26-50,Male,Off campus,Staff,41k–60k,work,yes,4,Taxi,safety,80+,116.0,5770,yes
528,529,51+,Male,On campus,Staff,61k–80k,work,yes,3,Public Transport,safety,41-60,18.6,100,no
529,530,<=20,Female,Off campus,Students,≤20k,study,no,3,Public Transport,travel time,21-40,18.6,60,no
530,531,<=20,Female,Off campus,Students,≤20k,study,no,5,Taxi,car ownership,41-60,116.0,3020,no
531,532,26-50,Female,Off campus,Students,21k–40k,both,yes,Daily,Private,trip origin,61-80,173.0,770,no
532,533,26-50,Female,Off campus,Students,≤20k,study,yes,2,Public Transport,trip cost,<=20,18.6,20,no
533,534,26-50,Male,On campus,Staff,41k–60k,work,yes,4,Private,comfort,61-80,173.0,770,no
534,535,26-50,Female,Off campus,Staff,41k–60k,work,yes,2,Public Transport,trip cost,61-80,18.6,140,no
535,536,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Private,trip origin,<=20,173.0,110,no
536,537,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Taxi,comfort,<=20,116.0,270,no
537,538,26-50,Male,On campus,Staff,81k-100k,work,yes,5,Walking,trip distance,<=20,0.0,0,no
538,539,<=20,Male,Off campus,Students,≤20k,both,yes,1,Public Transport,trip cost,<=20,18.6,20,yes
539,540,<=20,Male,Off campus,Students,≤20k,study,no,5,Public Transport,safety,<=20,18.6,20,no
540,541,<=20,Female,Off campus,Students,≤20k,study,yes,3,Public Transport,travel time,41-60,18.6,100,no
541,542,26-50,Male,Off campus,Staff,61k–80k,work,yes,3,Public Transport,trip cost,21-40,18.6,60,no
542,543,<=20,Male,Off campus,Students,41k–60k,study,no,4,Public Transport,safety,80+,18.6,200,no
543,544,26-50,Male,Off campus,Students,≤20k,study,yes,3,Public Transport,trip cost,<=20,18.6,20,yes
544,545,51+,Male,On campus,Staff,41k–60k,work,yes,1,Private,trip origin,21-40,116.0,330,no
545,546,26-50,Male,Off campus,Staff,41k–60k,work,yes,2,Public Transport,safety,41-60,18.6,100,no
546,547,26-50,Male,On campus,Students,21k–40k,study,no,4,Public Transport,safety,80+,18.6,200,no
547,548,51+,Male,Off campus,Staff,61k–80k,work,yes,1,Taxi,comfort,21-40,116.0,1920,no
548,549,26-50,Male,Off campus,Staff,61k–80k,work,yes,1,Public Transport,safety,21-40,18.6,60,yes
549,550,26-50,Female,On campus,Staff,81k-100k,work,yes,Daily,Private,safety,80+,116.0,1100,no
550,551,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Public Transport,travel time,21-40,18.6,60,no
551,552,<=20,Female,On campus,Students,≤20k,study,yes,Daily,Walking,trip distance,<=20,0.0,0,no
552,553,<=20,Male,Off campus,Students,≤20k,both,yes,3,Public Transport,trip cost,21-40,18.6,60,no
553,554,26-50,Male,Off campus,Staff,61k–80k,both,no,1,Private,trip origin,61-80,116.0,770,yes
554,555,51+,Female,On campus,Staff,61k–80k,work,no,1,Private,car ownership,<=20,116.0,110,yes
555,556,26-50,Male,Off campus,Staff,61k–80k,work,yes,3,Walking,trip cost,21-40,0.0,0,no
556,557,26-50,Male,Off campus,Staff,61k–80k,work,yes,Daily,Taxi,car ownership,21-40,116.0,1920,no
557,558,51+,Male,Off campus,Staff,61k–80k,work,yes,3,Private,trip origin,80+,116.0,1100,no
558,559,26-50,Female,On campus,Staff,81k-100k,work,no,4,Public Transport,trip cost,21-40,18.6,60,yes
559,560,51+,Male,Off campus,Staff,61k–80k,work,yes,5,Public Transport,trip cost,<=20,18.6,20,yes
560,561,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
561,562,26-50,Male,Off campus,Students,≤20k,study,no,5,Public Transport,trip cost,21-40,18.6,60,no
562,563,26-50,Male,On campus,Staff,61k–80k,work,no,3,Private,trip origin,41-60,173.0,550,yes
563,564,<=20,Male,On campus,Students,41k–60k,both,yes,5,Public Transport,safety,41-60,18.6,100,no
564,565,<=20,Male,Off campus,Students,≤20k,study,no,2,Taxi,trip origin,61-80,116.0,4120,no
565,566,51+,Male,Off campus,Staff,81k-100k,work,no,2,Public Transport,travel time,61-80,18.6,140,no
566,567,26-50,Male,Off campus,Students,21k–40k,both,yes,5,Public Transport,travel time,80+,18.6,200,no
567,568,<=20,Male,Off campus,Students,≤20k,both,yes,5,Public Transport,trip cost,21-40,18.6,60,no
568,569,26-50,Female,Off campus,Students,≤20k,both,no,1,Public Transport,trip cost,80+,18.6,200,no
569,570,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Taxi,car ownership,<=20,116.0,270,no
570,571,26-50,Male,Off campus,Staff,>100k,work,yes,1,Private,travel time,41-60,173.0,550,no
571,572,51+,Female,Off campus,Staff,81k-100k,both,yes,1,Taxi,comfort,21-40,116.0,1920,no
572,573,<=20,Male,Off campus,Students,≤20k,study,no,Daily,Taxi,comfort,61-80,116.0,4120,yes
573,574,26-50,Male,Off campus,Staff,41k–60k,both,no,Daily,Public Transport,travel time,21-40,18.6,60,no
574,575,51+,Female,Off campus,Staff,61k–80k,work,yes,5,Private,safety,61-80,173.0,770,no
575,576,51+,Female,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,travel time,80+,18.6,200,no
576,577,51+,Male,Off campus,Staff,41k–60k,both,no,3,Public Transport,safety,41-60,18.6,100,no
577,578,26-50,Female,Off campus,Students,≤20k,study,no,Daily,Public Transport,travel time,61-80,18.6,140,no
578,579,26-50,Male,Off campus,Staff,61k–80k,work,yes,Daily,Taxi,trip origin,<=20,116.0,270,yes
579,580,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Taxi,travel time,<=20,116.0,270,yes
580,581,26-50,Male,On campus,Staff,81k-100k,work,yes,Daily,Private,travel time,80+,116.0,1100,no
581,582,51+,Female,Off campus,Staff,>100k,work,yes,4,Public Transport,trip cost,41-60,18.6,100,no
582,583,26-50,Male,Off campus,Staff,81k-100k,work,yes,5,Private,car ownership,21-40,173.0,330,no
583,584,26-50,Male,Off campus,Staff,81k-100k,work,no,Daily,Public Transport,trip cost,21-40,18.6,60,no
584,585,26-50,Male,Off campus,Staff,41k–60k,work,yes,1,Public Transport,travel time,<=20,18.6,20,no
585,586,26-50,Male,Off campus,Staff,41k–60k,work,no,1,Taxi,safety,21-40,116.0,1920,no
586,587,26-50,Male,On campus,Staff,41k–60k,both,yes,5,Public Transport,trip cost,21-40,18.6,60,no
587,588,26-50,Male,Off campus,Students,21k–40k,study,yes,4,Public Transport,trip cost,<=20,18.6,20,yes
588,589,51+,Male,Off campus,Staff,>100k,work,yes,2,Public Transport,safety,<=20,18.6,20,yes
589,590,26-50,Male,Off campus,Staff,81k-100k,work,yes,3,Private,trip origin,21-40,173.0,330,no
590,591,51+,Male,Off campus,Staff,81k-100k,work,yes,5,Private,trip origin,21-40,116.0,330,no
591,592,<=20,Male,Off campus,Students,21k–40k,both,no,Daily,Taxi,safety,<=20,116.0,270,yes
592,593,26-50,Male,Off campus,Staff,61k–80k,work,yes,1,Taxi,car ownership,21-40,116.0,1920,no
593,594,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Public Transport,travel time,80+,18.6,200,no
594,595,51+,Female,On campus,Staff,41k–60k,work,yes,4,Public Transport,trip cost,21-40,18.6,60,no
595,596,51+,Male,Off campus,Staff,41k–60k,work,yes,2,Public Transport,trip cost,80+,18.6,200,no
596,597,26-50,Male,Off campus,Staff,61k–80k,both,yes,2,Taxi,car ownership,80+,116.0,5770,no
597,598,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Taxi,car ownership,<=20,116.0,270,no
598,599,26-50,Male,Off campus,Staff,61k–80k,work,yes,2,Public Transport,safety,<=20,18.6,20,yes
599,600,<=20,Male,On campus,Students,≤20k,both,no,3,Public Transport,safety,21-40,18.6,60,yes
600,601,<=20,Male,Off campus,Students,≤20k,study,yes,1,Public Transport,safety,21-40,18.6,60,yes
601,602,26-50,Male,On campus,Staff,61k–80k,work,no,3,Public Transport,trip cost,21-40,18.6,60,no
602,603,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Private,safety,21-40,173.0,330,no
603,604,51+,Male,Off campus,Staff,61k–80k,work,no,Daily,Public Transport,travel time,41-60,18.6,100,no
604,605,26-50,Male,On campus,Staff,81k-100k,work,yes,1,Private,car ownership,<=20,173.0,110,no
605,606,26-50,Male,Off campus,Staff,61k–80k,both,yes,1,Public Transport,travel time,80+,18.6,200,no
606,607,26-50,Male,On campus,Staff,61k–80k,work,yes,3,Motorcycle,trip distance,<=20,50.0,30,no
607,608,26-50,Male,Off campus,Students,21k–40k,study,no,Daily,Private,comfort,80+,116.0,1100,yes
608,609,51+,Male,Off campus,Staff,81k-100k,work,yes,3,Public Transport,safety,<=20,18.6,20,yes
609,610,51+,Male,On campus,Staff,81k-100k,work,yes,5,Public Transport,travel time,<=20,18.6,20,no
610,611,26-50,Male,Off campus,Staff,41k–60k,work,yes,1,Public Transport,trip cost,<=20,18.6,20,no
611,612,26-50,Female,On campus,Students,≤20k,both,yes,5,Public Transport,travel time,80+,18.6,200,no
612,613,26-50,Male,Off campus,Staff,41k–60k,work,yes,6,Private,safety,<=20,173.0,110,no
613,614,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,travel time,41-60,18.6,100,yes
614,615,<=20,Female,Off campus,Students,41k–60k,study,yes,Daily,Public Transport,trip cost,80+,18.6,200,no
615,616,26-50,Female,On campus,Staff,61k–80k,both,yes,5,Public Transport,trip cost,41-60,18.6,100,yes
616,617,51+,Male,Off campus,Staff,41k–60k,work,yes,6,Taxi,car ownership,21-40,116.0,1920,no
617,618,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,safety,80+,18.6,200,no
618,619,<=20,Female,Off campus,Students,≤20k,both,yes,Daily,Public Transport,trip cost,80+,18.6,200,yes
619,620,26-50,Female,Off campus,Staff,61k–80k,work,no,Daily,Private,car ownership,21-40,173.0,330,yes
620,621,26-50,Male,Off campus,Staff,81k-100k,both,yes,6,Private,trip origin,21-40,116.0,330,no
621,622,26-50,Male,Off campus,Staff,81k-100k,work,no,Daily,Public Transport,safety,80+,18.6,200,yes
622,623,<=20,Male,Off campus,Students,41k–60k,study,yes,2,Public Transport,travel time,80+,18.6,200,no
623,624,51+,Male,Off campus,Staff,41k–60k,both,no,5,Private,trip origin,21-40,173.0,330,no
624,625,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,trip cost,61-80,18.6,140,no
625,626,26-50,Male,Off campus,Staff,41k–60k,work,yes,3,Public Transport,trip cost,21-40,18.6,60,no
626,627,51+,Male,On campus,Staff,61k–80k,work,yes,Daily,Private,safety,21-40,116.0,330,yes
627,628,26-50,Female,Off campus,Staff,>100k,work,no,5,Private,safety,<=20,116.0,110,no
628,629,26-50,Male,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,safety,<=20,18.6,20,yes
629,630,26-50,Male,Off campus,Staff,81k-100k,work,yes,3,Public Transport,safety,41-60,18.6,100,yes
630,631,<=20,Female,Off campus,Students,≤20k,both,yes,3,Public Transport,safety,21-40,18.6,60,no
631,632,51+,Female,Off campus,Staff,41k–60k,work,yes,Daily,Private,trip origin,<=20,173.0,110,yes
632,633,26-50,Male,On campus,Staff,41k–60k,work,yes,Daily,Public Transport,safety,21-40,18.6,60,no
633,634,26-50,Male,On campus,Staff,61k–80k,work,yes,1,Public Transport,travel time,21-40,18.6,60,no
634,635,<=20,Male,Off campus,Students,21k–40k,study,yes,Daily,Public Transport,trip cost,80+,18.6,200,no
635,636,51+,Male,Off campus,Staff,41k–60k,work,yes,5,Taxi,car ownership,61-80,116.0,4120,no
636,637,26-50,Male,Off campus,Staff,81k-100k,work,no,4,Public Transport,safety,21-40,18.6,60,no
637,638,51+,Male,Off campus,Staff,81k-100k,work,yes,1,Private,car ownership,80+,116.0,1100,no
638,639,51+,Male,Off campus,Staff,61k–80k,work,yes,3,Public Transport,safety,21-40,18.6,60,no
639,640,26-50,Male,Off campus,Staff,81k-100k,work,no,3,Public Transport,trip cost,41-60,18.6,100,yes
640,641,26-50,Male,Off campus,Staff,61k–80k,work,yes,5,Public Transport,trip cost,80+,18.6,200,no
641,642,51+,Male,On campus,Staff,61k–80k,work,yes,1,Motorcycle,trip distance,<=20,50.0,30,no
642,643,26-50,Male,Off campus,Staff,81k-100k,work,no,Daily,Private,comfort,41-60,173.0,550,no
643,644,26-50,Male,Off campus,Students,41k–60k,study,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
644,645,26-50,Male,On campus,Staff,41k–60k,work,yes,2,Motorcycle,trip distance,<=20,50.0,30,no
645,646,26-50,Female,Off campus,Staff,61k–80k,work,no,1,Private,travel time,21-40,116.0,330,no
646,647,51+,Male,Off campus,Staff,41k–60k,both,no,1,Private,comfort,80+,116.0,1100,yes
647,648,26-50,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,trip cost,21-40,18.6,60,yes
648,649,51+,Female,Off campus,Staff,61k–80k,work,yes,3,Private,comfort,80+,173.0,1100,yes
649,650,<=20,Male,Off campus,Students,41k–60k,study,yes,Daily,Public Transport,travel time,80+,18.6,200,no
650,651,26-50,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,travel time,<=20,18.6,20,no
651,652,51+,Male,Off campus,Staff,41k–60k,work,yes,1,Private,trip origin,21-40,116.0,330,no
652,653,51+,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,trip cost,41-60,18.6,100,no
653,654,26-50,Female,On campus,Staff,61k–80k,work,no,3,Public Transport,trip cost,21-40,18.6,60,yes
654,655,26-50,Male,Off campus,Staff,41k–60k,work,no,1,Public Transport,safety,<=20,18.6,20,no
655,656,26-50,Male,Off campus,Students,≤20k,both,yes,1,Public Transport,safety,80+,18.6,200,no
656,657,26-50,Male,Off campus,Staff,81k-100k,work,yes,2,Public Transport,trip cost,41-60,18.6,100,no
657,658,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,travel time,21-40,18.6,60,no
658,659,<=20,Male,Off campus,Students,≤20k,study,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
659,660,26-50,Male,Off campus,Staff,81k-100k,both,yes,5,Public Transport,trip cost,<=20,18.6,20,yes
660,661,26-50,Male,Off campus,Staff,41k–60k,work,no,1,Private,travel time,21-40,116.0,330,no
661,662,26-50,Female,Off campus,Staff,61k–80k,work,yes,1,Public Transport,travel time,80+,18.6,200,yes
662,663,51+,Male,Off campus,Staff,61k–80k,work,no,Daily,Private,comfort,80+,173.0,1100,no
663,664,26-50,Male,Off campus,Staff,61k–80k,work,yes,2,Private,car ownership,21-40,173.0,330,no
664,665,26-50,Male,Off campus,Staff,61k–80k,work,yes,2,Private,safety,21-40,173.0,330,no
665,666,26-50,Male,Off campus,Staff,41k–60k,work,yes,2,Private,travel time,41-60,173.0,550,no
666,667,<=20,Male,On campus,Students,21k–40k,study,yes,3,Motorcycle,travel time,<=20,50.0,30,no
667,668,26-50,Male,Off campus,Staff,81k-100k,work,no,Daily,Walking,trip distance,<=20,0.0,0,no
668,669,51+,Male,Off campus,Staff,41k–60k,work,no,Daily,Public Transport,travel time,21-40,18.6,60,no
669,670,26-50,Male,Off campus,Staff,41k–60k,work,yes,5,Public Transport,trip cost,21-40,18.6,60,no
670,671,51+,Male,Off campus,Staff,41k–60k,work,yes,5,Private,comfort,<=20,173.0,110,no
671,672,26-50,Female,Off campus,Staff,41k–60k,both,yes,Daily,Motorcycle,trip cost,<=20,50.0,30,no
672,673,26-50,Male,Off campus,Staff,61k–80k,work,no,2,Private,trip origin,<=20,173.0,110,no
673,674,<=20,Male,On campus,Students,≤20k,both,no,Daily,Walking,trip distance,<=20,0.0,0,no
674,675,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Taxi,travel time,21-40,116.0,1920,yes
675,676,51+,Female,Off campus,Staff,81k-100k,work,yes,Daily,Private,comfort,21-40,116.0,330,no
676,677,26-50,Male,Off campus,Students,≤20k,study,yes,Daily,Motorcycle,trip cost,<=20,50.0,30,no
677,678,26-50,Male,On campus,Staff,81k-100k,work,yes,3,Walking,trip distance,41-60,0.0,0,no
678,679,26-50,Female,On campus,Staff,81k-100k,work,yes,2,Public Transport,trip cost,<=20,18.6,20,no
679,680,26-50,Female,Off campus,Staff,41k–60k,both,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
680,681,<=20,Female,Off campus,Students,21k–40k,study,no,Daily,Taxi,car ownership,80+,116.0,5770,no
681,682,26-50,Male,Off campus,Students,21k–40k,study,yes,5,Public Transport,trip cost,41-60,18.6,100,yes
682,683,26-50,Male,On campus,Staff,61k–80k,work,yes,Daily,Public Transport,travel time,41-60,18.6,100,yes
683,684,<=20,Male,Off campus,Students,≤20k,study,no,3,Taxi,trip origin,21-40,116.0,1920,no
684,685,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Taxi,car ownership,<=20,116.0,270,no
685,686,26-50,Male,On campus,Staff,>100k,work,yes,3,Private,trip origin,41-60,116.0,550,no
686,687,<=20,Male,On campus,Students,21k–40k,study,yes,Daily,Motorcycle,trip cost,21-40,50.0,90,no
687,688,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Taxi,car ownership,<=20,116.0,270,no
688,689,51+,Female,Off campus,Staff,61k–80k,both,yes,Daily,Private,travel time,21-40,116.0,330,no
689,690,26-50,Male,Off campus,Staff,61k–80k,work,yes,Daily,Taxi,trip origin,80+,116.0,5770,no
690,691,51+,Male,Off campus,Staff,61k–80k,work,no,1,Private,car ownership,<=20,116.0,110,no
691,692,26-50,Male,Off campus,Staff,81k-100k,work,yes,3,Public Transport,safety,21-40,18.6,60,yes
692,693,51+,Male,On campus,Staff,61k–80k,work,no,Daily,Public Transport,safety,21-40,18.6,60,no
693,694,26-50,Male,Off campus,Staff,81k-100k,work,yes,Daily,Private,safety,61-80,173.0,770,no
694,695,51+,Male,Off campus,Staff,81k-100k,work,no,2,Private,trip origin,61-80,173.0,770,no
695,696,51+,Male,Off campus,Staff,61k–80k,work,yes,3,Private,car ownership,61-80,173.0,770,no
696,697,51+,Male,Off campus,Staff,41k–60k,work,yes,6,Public Transport,trip cost,21-40,18.6,60,yes
697,698,26-50,Male,Off campus,Staff,81k-100k,work,yes,3,Private,trip origin,<=20,116.0,110,no
698,699,<=20,Male,Off campus,Students,41k–60k,study,yes,1,Taxi,safety,21-40,116.0,1920,yes
699,700,26-50,Male,Off campus,Staff,41k–60k,work,yes,3,Public Transport,travel time,41-60,18.6,100,no
700,701,<=20,Male,Off campus,Students,≤20k,both,no,5,Public Transport,safety,41-60,18.6,100,no
701,702,<=20,Male,Off campus,Students,≤20k,study,yes,5,Public Transport,trip cost,80+,18.6,200,no
702,703,26-50,Male,On campus,Staff,81k-100k,work,yes,Daily,Private,car ownership,21-40,116.0,330,no
703,704,51+,Male,On campus,Staff,81k-100k,work,yes,Daily,Public Transport,safety,41-60,18.6,100,no
704,705,26-50,Male,Off campus,Staff,41k–60k,both,no,Daily,Private,travel time,21-40,116.0,330,no
705,706,26-50,Female,Off campus,Staff,81k-100k,work,yes,2,Taxi,safety,<=20,116.0,270,no
706,707,26-50,Male,On campus,Staff,41k–60k,work,no,4,Private,travel time,21-40,173.0,330,no
707,708,<=20,Female,Off campus,Students,21k–40k,study,no,2,Public Transport,travel time,21-40,18.6,60,no
708,709,26-50,Male,On campus,Staff,61k–80k,work,yes,Daily,Walking,trip distance,41-60,0.0,0,no
709,710,26-50,Male,Off campus,Staff,41k–60k,work,yes,4,Private,safety,21-40,116.0,330,yes
710,711,26-50,Female,Off campus,Staff,41k–60k,work,no,4,Public Transport,travel time,80+,18.6,200,no
711,712,26-50,Male,Off campus,Staff,41k–60k,work,yes,Daily,Public Transport,trip cost,21-40,18.6,60,no
712,713,26-50,Male,Off campus,Students,21k–40k,study,yes,3,Motorcycle,trip cost,<=20,50.0,30,no
713,714,51+,Male,Off campus,Staff,61k–80k,work,no,1,Public Transport,travel time,<=20,18.6,20,no
714,715,51+,Male,On campus,Staff,41k–60k,work,no,5,Private,comfort,<=20,173.0,110,yes
715,716,26-50,Female,Off campus,Staff,41k–60k,work,no,5,Public Transport,safety,21-40,18.6,60,no
716,717,26-50,Female,Off campus,Staff,41k–60k,both,yes,2,Private,comfort,<=20,116.0,110,no
717,718,26-50,Female,Off campus,Staff,81k-100k,both,yes,3,Private,car ownership,21-40,173.0,330,no
718,719,26-50,Male,Off campus,Staff,81k-100k,work,yes,5,Private,travel time,80+,173.0,1100,no
719,720,26-50,Female,On campus,Staff,41k–60k,work,yes,2,Motorcycle,trip cost,21-40,50.0,90,no
720,721,26-50,Female,Off campus,Staff,61k–80k,work,yes,Daily,Public Transport,safety,61-80,18.6,140,no
721,722,<=20,Male,Off campus,Students,≤20k,study,yes,4,Public Transport,trip cost,<=20,18.6,20,no
722,723,<=20,Male,Off campus,Students,41k–60k,study,yes,Daily,Walking,trip cost,<=20,0.0,0,no
723,724,51+,Female,Off campus,Staff,>100k,work,no,1,Public Transport,trip cost,21-40,18.6,60,yes
724,725,<=20,Male,Off campus,Students,21k–40k,both,no,5,Private,comfort,80+,173.0,1100,no
725,726,<=20,Female,Off campus,Students,41k–60k,both,no,4,Taxi,safety,<=20,116.0,270,yes
726,727,26-50,Male,On campus,Staff,81k-100k,work,yes,1,Private,travel time,21-40,116.0,330,no
727,728,26-50,Female,Off campus,Staff,81k-100k,work,yes,Daily,Private,comfort,21-40,116.0,330,no
728,729,26-50,Male,Off campus,Staff,61k–80k,both,no,1,Private,safety,21-40,116.0,330,no
729,730,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Public Transport,travel time,61-80,18.6,140,yes
730,731,<=20,Male,Off campus,Students,≤20k,both,yes,Daily,Public Transport,safety,<=20,18.6,20,no
731,732,26-50,Female,Off campus,Students,≤20k,study,yes,4,Public Transport,travel time,21-40,18.6,60,yes
732,733,51+,Male,On campus,Staff,61k–80k,work,yes,Daily,Public Transport,travel time,61-80,18.6,140,no
733,734,26-50,Male,Off campus,Staff,41k–60k,work,yes,1,Public Transport,travel time,21-40,18.6,60,no
734,735,26-50,Male,Off campus,Staff,41k–60k,work,no,1,Taxi,car ownership,21-40,116.0,1920,no
735,736,<=20,Female,Off campus,Students,≤20k,study,no,6,Public Transport,travel time,<=20,18.6,20,yes
736,737,51+,Male,Off campus,Staff,41k–60k,work,yes,1,Private,car ownership,41-60,173.0,550,no
737,738,26-50,Female,Off campus,Staff,61k–80k,both,yes,Daily,Private,comfort,80+,116.0,1100,yes
738,739,26-50,Male,Off campus,Staff,>100k,both,no,Daily,Public Transport,trip cost,21-40,18.6,60,no
739,740,26-50,Male,On campus,Staff,81k-100k,work,yes,3,Private,comfort,80+,116.0,1100,no
740,741,26-50,Male,Off campus,Staff,61k–80k,both,yes,3,Private,safety,21-40,173.0,330,no
741,742,26-50,Male,Off campus,Students,≤20k,study,no,1,Public Transport,travel time,<=20,18.6,20,yes
742,743,<=20,Female,On campus,Students,≤20k,both,no,1,Motorcycle,travel time,<=20,50.0,30,no
743,744,26-50,Male,On campus,Staff,41k–60k,work,no,Daily,Walking,trip cost,21-40,0.0,0,no
744,745,<=20,Male,Off campus,Students,21k–40k,study,yes,2,Taxi,trip origin,21-40,116.0,1920,no
745,746,<=20,Female,Off campus,Students,≤20k,study,yes,2,Public Transport,safety,61-80,18.6,140,no
746,747,26-50,Male,Off campus,Students,≤20k,study,no,Daily,Taxi,car ownership,41-60,116.0,3020,no
747,748,26-50,Male,On campus,Students,21k–40k,study,yes,Daily,Public Transport,trip cost,80+,18.6,200,no
748,749,26-50,Female,Off campus,Staff,41k–60k,work,no,Daily,Private,car ownership,21-40,173.0,330,no
749,750,26-50,Male,Off campus,Staff,61k–80k,both,yes,Daily,Public Transport,travel time,21-40,18.6,60,no
750,751,26-50,Male,Off campus,Staff,41k–60k,work,no,3,Private,safety,21-40,173.0,330,no
